name,age,selection129,selection50,sex_fct,smoking_at_home,parent_smoking,sibling_smoking,alcohol_int,tobacco_int,cannabis_int,alcohol_fct,tobacco_fct,cannabis_fct,money,romantic,leisure_music_at_home,leisure_shopping,leisure_reading,leisure_watch_sports,leisure_play_sports,leisure_hang_streets,leisure_videogames,leisure_hobby,leisure_organized,leisure_movies,leisure_concerts,leisure_church,leisure_pet,leisure_dancing,leisure_be_bored,music_rock,music_chart,music_reggae,music_dance,music_heavy,music_techno,music_folk,music_rave,music_indie,music_jazz,music_classical,music_sixty,music_house,music_grunge,music_rap,music_hiphop,in_degree,out_degree,tobacco_dimaria,alcohol_dimaria,cannabis_dimaria
s001,13.3,TRUE,TRUE,Female,no,no,no,3,2,1,Once a month,Occasional,Never,6.2,no,Most days,Once a week,Most days,Never,Once a week,Most days,Once a week,Once a week,Once a week,Once a week,Never,Once a week,Never,Once a month,Never,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,2,2,1,1,0
s002,13.3,TRUE,FALSE,Male,no,no,no,NA,1,1,Never,Never,Never,4,no,Never,Once a month,Never,Once a month,Most days,Never,Once a week,Once a week,Never,Once a month,Never,Never,Never,Never,Once a month,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,7,4,0,NA,0
s003,13.7,TRUE,TRUE,Female,yes,yes,no,2,3,2,Once or twice a year,Regular,Tried once,8,yes,Most days,Once a week,Once a week,Never,Never,Most days,Most days,Never,Never,Once a month,Never,Never,Never,Never,Most days,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2,4,1,0,0
s004,12.9,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,5,no,Most days,Once a week,Most days,Never,Once a week,Most days,Once a week,Never,Never,Once a month,Never,Never,Never,Never,Never,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,9,6,0,0,0
s005,13.6,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,3.5,yes,Most days,Most days,Most days,Most days,Most days,Most days,Most days,Never,Once a week,Once a month,Once a month,Never,Most days,Never,Never,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,3,5,0,0,0
s006,13.8,TRUE,FALSE,Male,yes,no,yes,3,3,3,Once a month,Regular,Occasional,5,no,Most days,Once a month,Most days,Never,Never,Once a week,Once a week,Most days,Never,Once a week,Once a month,Never,Never,Never,Never,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,2,2,1,1,1
s007,13.5,TRUE,TRUE,Female,yes,yes,no,2,1,1,Once or twice a year,Never,Never,5,no,Most days,Once a week,Most days,Never,Never,Never,Never,Once a week,Once a week,Once a month,Never,Never,Most days,Never,Once a week,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,5,6,0,0,0
s008,13.4,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,8.5,yes,Most days,Most days,Most days,Most days,Never,Never,Most days,Once a week,Never,Once a month,Never,Never,Never,Never,Never,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,7,6,0,0,0
s009,13.1,FALSE,FALSE,Female,yes,yes,no,4,1,1,Once a week,Never,Never,2.5,no,Most days,Once a week,Most days,Once a month,Once a week,Most days,Most days,Once a week,Once a week,Once a month,Never,Once a month,Most days,Never,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,3,4,0,1,0
s010,12.9,TRUE,FALSE,Male,no,no,no,NA,1,2,Never,Never,Tried once,5,no,Most days,Most days,Never,Most days,Most days,Most days,Never,Most days,Never,Once a week,Never,Never,Most days,Never,Never,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,4,5,0,NA,0
s011,13.4,TRUE,TRUE,Female,no,no,no,2,1,1,Once or twice a year,Never,Never,3.5,no,Most days,Once a week,Once a week,Never,Most days,Never,Once a week,Most days,Never,Once a month,Never,Never,Most days,Never,Never,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,1,5,0,0,0
s012,13,TRUE,TRUE,Female,no,no,no,3,1,1,Once a month,Never,Never,6,no,Most days,Once a week,Once a week,Never,Once a week,Most days,Never,Never,Never,Once a month,Once a month,Never,Never,Never,Never,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,6,6,0,1,0
s013,13.6,TRUE,TRUE,Female,no,no,no,4,1,1,Once a week,Never,Never,5,no,Most days,Once a week,Once a month,Never,Once a week,Most days,Once a week,Most days,Never,Never,Never,Never,Once a week,Never,Never,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,4,4,0,1,0
s014,13.5,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,10,no,Most days,Once a week,Once a week,Once a week,Once a week,Once a month,Once a week,Once a week,Most days,Once a week,Once a month,Never,Most days,Once a week,Never,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,1,5,0,0,0
s015,12.9,TRUE,FALSE,Female,yes,yes,no,2,1,1,Once or twice a year,Never,Never,7,yes,Most days,Most days,Most days,Never,Once a week,Most days,Never,Never,Never,Never,Never,Never,Most days,Never,Never,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,8,6,0,0,0
s016,13.7,FALSE,TRUE,Female,yes,yes,no,4,1,3,Once a week,Never,Occasional,10,yes,Most days,Once a week,Once a month,Never,Once a week,Most days,Once a week,Never,Never,Never,Never,Never,Most days,Never,Never,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,6,4,0,1,1
s017,13.7,FALSE,FALSE,Female,yes,yes,yes,3,1,1,Once a month,Never,Never,1.5,no,Most days,Once a week,Never,Never,Never,Never,Most days,Never,Once a week,Once a week,Most days,Never,Most days,Never,Most days,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,4,6,0,1,0
s018,13.6,TRUE,FALSE,Male,yes,yes,yes,2,1,1,Once or twice a year,Never,Never,1,no,Most days,Most days,Once a week,Never,Never,Never,Most days,Never,Never,Once a week,Never,Never,Never,Never,Never,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,5,3,0,0,0
s019,13.1,TRUE,TRUE,Female,yes,no,yes,4,3,3,Once a week,Regular,Occasional,1,no,Most days,Once a week,Most days,Once a week,Most days,Most days,Most days,Once a week,Once a week,Never,Never,Once a week,Once a week,Never,Never,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,3,3,1,1,1
s020,13.5,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,1,no,Once a week,Once a month,Most days,Never,Once a week,Never,Once a week,Most days,Never,Once a week,Never,Never,Most days,Never,Once a week,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,1,4,0,0,0
s021,13.5,TRUE,FALSE,Male,no,no,no,NA,1,1,Never,Never,Never,NA,no,Once a month,Once a month,Once a week,Never,Never,Never,Once a week,Never,Never,Once a week,Never,Never,Once a week,Never,Most days,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,5,0,NA,0
s022,13.1,TRUE,FALSE,Male,no,no,no,NA,1,1,Never,Never,Never,12.5,no,Most days,Once a week,Most days,Once a week,Most days,Most days,Most days,Once a week,Never,Once a month,Never,Never,Once a week,Never,Never,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,3,3,0,NA,0
s023,13.1,TRUE,FALSE,Male,yes,yes,no,NA,1,1,Never,Never,Never,5,no,Most days,Never,Most days,Never,Never,Never,Most days,Most days,Never,Never,Never,Once a week,Most days,Never,Never,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,4,1,0,NA,0
s024,13.7,FALSE,FALSE,Male,yes,yes,no,3,1,1,Once a month,Never,Never,15,no,Most days,Once a week,Once a week,Once a month,Most days,Never,Most days,Most days,Never,Once a month,Never,Never,Most days,Never,Never,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,2,3,0,1,0
s025,13.4,FALSE,FALSE,Female,yes,yes,no,3,1,1,Once a month,Never,Never,20,no,Most days,Once a week,Most days,Never,Never,Most days,Most days,Once a week,Once a week,Once a week,Never,Never,Most days,Once a month,Never,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,4,6,0,1,0
s026,13.5,TRUE,TRUE,Female,yes,yes,no,2,1,1,Once or twice a year,Never,Never,7,yes,Most days,Most days,Never,Never,Once a week,Never,Most days,Once a month,Never,Once a month,Never,Once a month,Never,Never,Never,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,5,5,0,0,0
s027,13.1,TRUE,TRUE,Female,no,no,no,4,1,1,Once a week,Never,Never,27,no,Most days,Once a week,Most days,Never,Most days,Once a week,Most days,Most days,Never,Once a month,Once a month,Never,Most days,Once a month,Never,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,4,4,0,1,0
s028,13.5,TRUE,TRUE,Female,yes,yes,no,5,3,2,More than once a week,Regular,Tried once,8,yes,Most days,Once a week,Most days,Once a month,Once a week,Most days,Most days,Never,Never,Once a week,Once a month,Never,Most days,Once a month,Most days,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,12,5,1,1,0
s029,13.6,TRUE,TRUE,Female,yes,yes,yes,5,3,3,More than once a week,Regular,Occasional,20,no,Never,Once a week,Never,Once a week,Once a month,Most days,Never,Never,Never,Once a month,Once a month,Never,Never,Once a month,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,0,4,1,1,1
s030,13.7,FALSE,FALSE,Female,yes,yes,no,3,1,3,Once a month,Never,Occasional,10,yes,Most days,Most days,Once a week,Never,Never,Most days,Never,Never,Never,Once a week,Once a month,Never,Most days,Once a week,Never,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,1,2,0,1,1
s031,13.7,FALSE,TRUE,Female,no,no,no,1,1,1,Never,Never,Never,10,yes,Most days,Most days,Most days,Most days,Most days,Never,Most days,Most days,Never,Once a week,Never,Never,Never,Never,Never,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,5,5,0,0,0
s032,13,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,10,no,Never,Most days,Most days,Once a week,Most days,Never,Most days,Most days,Once a week,Once a month,Never,Once a week,Never,Never,Never,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,3,5,0,0,0
s033,13.5,TRUE,TRUE,Female,no,no,no,3,1,1,Once a month,Never,Never,6,no,Most days,Once a week,Once a week,Never,Once a week,Most days,Never,Never,Never,Once a month,Never,Never,Never,Once a month,Never,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2,4,0,1,0
s034,13.6,TRUE,TRUE,Female,yes,yes,no,4,2,1,Once a week,Occasional,Never,16,no,Most days,Most days,Most days,Never,Most days,Most days,Once a week,Never,Never,Once a month,Never,Never,Never,Never,Never,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,3,5,1,1,0
s035,13.2,TRUE,FALSE,Male,no,no,no,2,1,2,Once or twice a year,Never,Tried once,10,no,Most days,Most days,Most days,Once a month,Most days,Once a week,Most days,Most days,Once a week,Once a month,Never,Once a week,Never,Never,Never,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,6,6,0,0,0
s036,13.3,TRUE,FALSE,Male,no,no,no,3,1,2,Once a month,Never,Tried once,7,no,Most days,Once a week,Once a week,Once a week,Most days,Most days,Never,Once a week,Never,Never,Never,Never,Most days,Never,Once a month,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,4,2,0,1,0
s037,13.8,TRUE,FALSE,Male,no,no,no,NA,1,1,Never,Never,Never,7,no,Most days,Once a week,Once a week,Never,Once a week,Never,Most days,Most days,Never,Once a week,Never,Never,Most days,Never,Never,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,5,3,0,NA,0
s038,13.5,TRUE,FALSE,Male,no,no,no,NA,1,1,Never,Never,Never,5,no,Most days,Never,Once a month,Never,Never,Never,Most days,Once a month,Never,Once a month,Never,Never,Most days,Never,Never,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2,2,0,NA,0
s039,13.7,TRUE,FALSE,Male,no,no,no,NA,1,1,Never,Never,Never,2.5,no,Most days,Once a week,Most days,Never,Never,Once a month,Most days,Once a week,Once a week,Once a month,Never,Never,Most days,Once a month,Never,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,6,6,0,NA,0
s040,13.7,FALSE,FALSE,Female,yes,yes,no,3,1,1,Once a month,Never,Never,3,no,Most days,Once a week,Most days,Once a month,Most days,Once a week,Most days,Once a week,Never,Once a month,Never,Never,Never,Once a month,Most days,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,3,3,0,1,0
s041,13,TRUE,TRUE,Female,yes,yes,no,4,2,2,Once a week,Occasional,Tried once,7.5,yes,Most days,Once a week,Most days,Once a month,Once a month,Most days,Never,Never,Never,Once a month,Never,Never,Never,Once a month,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,4,4,1,1,0
s042,13.8,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,15,no,Most days,Once a week,Never,Once a week,Once a week,Most days,Once a week,Never,Never,Once a month,Never,Never,Never,Never,Never,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,0,0,0
s043,12.9,TRUE,TRUE,Female,yes,yes,no,2,1,1,Once or twice a year,Never,Never,2,no,Most days,Once a week,Once a week,Never,Once a week,Once a week,Once a month,Once a week,Never,Once a month,Never,Never,Most days,Never,Once a week,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,3,6,0,0,0
s044,13.6,TRUE,FALSE,Male,no,no,no,3,1,3,Once a month,Never,Occasional,5,no,Most days,Once a week,Once a week,Once a month,Most days,Most days,Once a month,Never,Most days,Once a month,Never,Once a week,Most days,Never,Once a month,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,10,6,0,1,1
s045,13.8,TRUE,FALSE,Female,no,no,no,3,3,3,Once a month,Regular,Occasional,7.5,yes,Most days,Once a week,Most days,Once a month,Once a week,Once a week,Once a week,Most days,Once a week,Once a month,Never,Once a month,Most days,Once a month,Never,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,3,2,1,1,1
s046,13.7,TRUE,TRUE,Female,yes,no,yes,4,1,1,Once a week,Never,Never,10,yes,Most days,Once a week,Once a week,Never,Once a week,Never,Once a week,Once a week,Never,Once a week,Never,Never,Never,Once a week,Never,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,6,6,0,1,0
s047,14.3,TRUE,FALSE,Male,yes,yes,no,1,2,1,Never,Occasional,Never,3,no,Never,Most days,Most days,Never,Most days,Most days,Never,Never,Never,Never,Never,Once a week,Most days,Never,Never,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,1,6,1,0,0
s048,12.9,FALSE,FALSE,Male,yes,yes,NA,NA,NA,NA,Never,Never,Never,NA,NA,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2,0,NA,NA,NA
s049,13.1,TRUE,FALSE,Male,yes,yes,no,3,1,1,Once a month,Never,Never,7.5,no,Once a week,Once a week,Never,Once a week,Most days,Most days,Once a week,Never,Never,Once a month,Never,Most days,Never,Never,Most days,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,7,6,0,1,0
s050,13.3,TRUE,FALSE,Male,yes,yes,no,NA,1,1,Never,Never,Never,10,no,Most days,Once a week,Most days,Once a month,Most days,Once a week,Most days,Once a week,Never,Once a month,Never,Never,Once a week,Never,Never,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,4,6,0,NA,0
s051,13.4,TRUE,FALSE,Male,yes,yes,yes,3,1,3,Once a month,Never,Occasional,3,no,Never,Never,Once a week,Never,Most days,Most days,Most days,Never,Most days,Never,Never,Never,Most days,Never,Never,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7,5,0,1,1
s052,13.8,TRUE,TRUE,Female,no,no,no,3,1,1,Once a month,Never,Never,10,no,Most days,Once a week,Most days,Never,Once a week,Most days,Once a week,Never,Once a week,Once a month,Never,Never,Never,Never,Most days,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,4,5,0,1,0
s053,13.4,TRUE,FALSE,Male,yes,yes,no,3,1,1,Once a month,Never,Never,12.5,no,Most days,Once a week,Most days,Never,Once a week,Never,Most days,Most days,Never,Once a month,Never,Never,Most days,Never,Once a week,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,2,2,0,1,0
s054,13.2,TRUE,TRUE,Female,yes,yes,yes,2,1,1,Once or twice a year,Never,Never,5,no,Most days,Once a week,Most days,Most days,Most days,Never,Most days,Never,Never,Once a month,Once a month,Once a week,Most days,Never,Never,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,0,2,0,0,0
s055,12.9,TRUE,FALSE,Female,yes,yes,no,NA,1,1,Never,Never,Never,5.5,no,Most days,Once a week,Most days,Never,Once a week,Never,Once a week,Most days,Never,Once a month,Never,Never,Most days,Never,Never,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2,6,0,NA,0
s056,13.2,TRUE,TRUE,Female,yes,yes,no,1,1,1,Never,Never,Never,6,yes,Most days,Once a week,Most days,Never,Once a week,Never,Most days,Never,Once a week,Never,Never,Never,Most days,Never,Never,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,10,3,0,0,0
s057,13.7,TRUE,FALSE,Male,no,no,no,4,2,1,Once a week,Occasional,Never,5,yes,Most days,Once a week,Never,Once a week,Most days,Most days,Once a week,Never,Never,Once a month,Never,Never,Never,Once a month,Never,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,3,5,1,1,0
s058,13.2,TRUE,FALSE,Male,yes,no,no,4,1,2,Once a week,Never,Tried once,13.5,yes,Most days,Once a week,Once a week,Once a month,Most days,Most days,Most days,Never,Most days,Once a month,Never,Never,Most days,Never,Once a month,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,10,5,0,1,0
s059,13.4,TRUE,TRUE,Female,yes,yes,no,3,1,1,Once a month,Never,Never,NA,no,Most days,Once a week,Most days,Never,Once a week,Never,Once a week,Never,Never,Once a month,Never,Never,Most days,Once a month,Most days,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,8,6,0,1,0
s060,13.4,TRUE,FALSE,Male,no,no,no,3,1,2,Once a month,Never,Tried once,10.5,yes,Most days,Once a week,Never,Once a week,Once a week,Most days,Never,Most days,Once a week,Once a month,Once a month,Never,Most days,Most days,Never,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,3,6,0,1,0
s061,13,TRUE,FALSE,Male,yes,yes,no,NA,1,1,Never,Never,Never,3,yes,Most days,Once a week,Most days,Once a week,Once a week,Never,Most days,Most days,Once a week,Once a week,Never,Never,Most days,Never,Never,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,7,5,0,NA,0
s062,13.1,TRUE,FALSE,Male,no,no,no,3,1,1,Once a month,Never,Never,4.5,no,Most days,Never,Never,Once a week,Most days,Most days,Never,Never,Never,Once a month,Never,Never,Once a week,Never,Never,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2,3,0,1,0
s063,13.5,FALSE,FALSE,Female,yes,yes,yes,4,2,3,Once a week,Occasional,Occasional,10,yes,Most days,Once a week,Once a week,Never,Once a week,Most days,Never,Never,Never,Once a month,Never,Never,Never,Most days,Never,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,3,6,1,1,1
s064,13.2,TRUE,TRUE,Female,yes,yes,yes,4,3,4,Once a week,Regular,Regular,15,yes,Most days,Most days,Once a week,Never,Most days,Most days,Once a week,Never,Never,Once a month,Most days,Never,Most days,Most days,Never,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,4,5,1,1,1
s065,13.6,TRUE,FALSE,Female,yes,yes,yes,4,2,3,Once a week,Occasional,Occasional,20,no,Once a week,Once a month,Once a month,Never,Once a month,Most days,Never,Never,Never,Never,Never,Never,Never,Once a month,Never,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,11,3,1,1,1
s066,13.1,TRUE,TRUE,Female,yes,yes,no,3,1,1,Once a month,Never,Never,7.5,no,Most days,Once a week,Most days,Once a month,Once a week,Never,Never,Once a month,Never,Once a month,Never,Never,Never,Never,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,4,6,0,1,0
s067,13.1,FALSE,FALSE,Male,yes,yes,yes,4,1,2,Once a week,Never,Tried once,6,yes,Most days,Once a week,Once a month,Most days,Most days,Once a week,Once a week,Once a month,Never,Once a month,Never,Never,Never,Once a month,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,8,6,0,1,0
s068,13.1,TRUE,FALSE,Male,no,no,no,NA,1,1,Never,Never,Never,1,no,Most days,Once a month,Most days,Never,Never,Never,Most days,Most days,Never,Never,Never,Never,Never,Never,Never,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,4,5,0,NA,0
s069,13.4,TRUE,FALSE,Male,yes,yes,no,2,1,1,Once or twice a year,Never,Never,3.5,no,Most days,Most days,Once a week,Once a week,Most days,Never,Most days,Never,Never,Once a week,Never,Never,Never,Never,Never,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,6,6,0,0,0
s070,13.6,TRUE,TRUE,Female,yes,yes,no,3,1,1,Once a month,Never,Never,5,no,Most days,Once a week,Most days,Never,Once a month,Once a week,Once a month,Most days,Once a week,Never,Never,Never,Most days,Never,Never,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,3,5,0,1,0
s071,13.1,TRUE,FALSE,Male,no,no,no,4,1,3,Once a week,Never,Occasional,10,yes,Most days,Once a week,Once a week,Once a week,Most days,Most days,Most days,Never,Never,Once a month,Never,Never,Never,Once a month,Never,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,5,5,0,1,1
s072,13.6,TRUE,TRUE,Female,yes,no,yes,4,3,3,Once a week,Regular,Occasional,10,yes,Most days,Once a week,Most days,Once a month,Most days,Most days,Once a week,Once a week,Never,Once a week,Once a month,Never,Never,Once a month,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,4,4,1,1,1
s073,12.8,TRUE,TRUE,Female,no,no,no,2,1,1,Once or twice a year,Never,Never,3.5,no,Most days,Once a week,Never,Once a month,Once a week,Most days,Once a week,Never,Never,Once a month,Once a month,Never,Most days,Once a month,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,1,3,0,0,0
s074,13.7,TRUE,FALSE,Male,no,no,no,3,1,3,Once a month,Never,Occasional,10,no,Most days,Once a week,Most days,Never,Once a week,Most days,Once a week,Most days,Never,Once a month,Once a month,Never,Never,Once a month,Never,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,7,6,0,1,1
s075,13.1,TRUE,FALSE,Male,no,no,no,2,1,2,Once or twice a year,Never,Tried once,10,no,Most days,Once a week,Once a week,Once a week,Most days,Most days,Most days,Never,Once a week,Once a week,Never,Never,Never,Never,Never,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,5,4,0,0,0
